HG00438.1	HG00438#1#JAHBCB010000005.1:35371222-35375588	c1_HG00438.1
HG00438.1	HG00438#1#JAHBCB010000005.1:35384936-35394190	c2_HG00438.1
HG00438.2	HG00438#2#JAHBCA010000050.1:8707361-8711687	c1_HG00438.2
HG00621.1	HG00621#1#JAHBCD010000110.1:4026394-4030760	c1_HG00621.1
HG00621.1	HG00621#1#JAHBCD010000110.1:4040104-4049359	c2_HG00621.1
HG00621.2	HG00621#2#JAHBCC010000029.1:8708826-8713161	c1_HG00621.2
HG00673.1	HG00673#1#JAHBBZ010000046.1:8717987-8722353	c1_HG00673.1
HG00673.1	HG00673#1#JAHBBZ010000046.1:8699388-8708643	c2_HG00673.1
HG00673.2	HG00673#2#JAHBBY010000055.1:4028854-4033220	c1_HG00673.2
HG00673.2	HG00673#2#JAHBBY010000055.1:4042561-4051827	c2_HG00673.2
HG00733.1	HG00733#1#JAHEPQ010000046.1:4048843-4053169	c1_HG00733.1
HG00733.2	HG00733#2#JAHEPP010000056.1:8725186-8729552	c1_HG00733.2
HG00733.2	HG00733#2#JAHEPP010000056.1:8706616-8715850	c2_HG00733.2
HG00735.1	HG00735#1#JAHBCH010000040.1:8702770-8707136	c1_HG00735.1
HG00735.1	HG00735#1#JAHBCH010000040.1:8684180-8693432	c2_HG00735.1
HG00735.2	HG00735#2#JAHBCG010000059.1:8726866-8731232	c1_HG00735.2
HG00735.2	HG00735#2#JAHBCG010000059.1:8708280-8717542	c2_HG00735.2
HG00741.1	HG00741#1#JAHALY010000111.1:8722059-8726425	c1_HG00741.1
HG00741.1	HG00741#1#JAHALY010000111.1:8703468-8712721	c2_HG00741.1
HG00741.2	HG00741#2#JAHALX010000042.1:4027832-4032198	c1_HG00741.2
HG00741.2	HG00741#2#JAHALX010000042.1:4041545-4050776	c2_HG00741.2
HG01071.1	HG01071#1#JAHBCF010000027.1:8730745-8735111	c1_HG01071.1
HG01071.1	HG01071#1#JAHBCF010000027.1:8712160-8721421	c2_HG01071.1
HG01071.2	HG01071#2#JAHBCE010000105.1:4029157-4033523	c1_HG01071.2
HG01071.2	HG01071#2#JAHBCE010000105.1:4042870-4052104	c2_HG01071.2
HG01106.1	HG01106#1#JAHAMC010000037.1:8731079-8735445	c1_HG01106.1
HG01106.1	HG01106#1#JAHAMC010000037.1:8712488-8721745	c2_HG01106.1
HG01106.2	HG01106#2#JAHAMB010000077.1:7620079-7624445	c1_HG01106.2
HG01106.2	HG01106#2#JAHAMB010000077.1:7601498-7610731	c2_HG01106.2
HG01109.1	HG01109#1#JAHEPA010000066.1:4021682-4026048	c1_HG01109.1
HG01109.1	HG01109#1#JAHEPA010000066.1:4035394-4044628	c2_HG01109.1
HG01109.2	HG01109#2#JAHEOZ010000088.1:4750544-4754910	c1_HG01109.2
HG01109.2	HG01109#2#JAHEOZ010000088.1:4731954-4741206	c2_HG01109.2
