HG02886.1	HG02886#1#JAHAOU010000134.1:4325991-4335243	c2_HG02886.1
HG02886.2	HG02886#2#JAHAOT010000063.1:29463134-29467500	c1_HG02886.2
HG02886.2	HG02886#2#JAHAOT010000063.1:29476834-29486096	c2_HG02886.2
HG03098.1	HG03098#1#JAHEPM010000066.1:4021914-4026279	c1_HG03098.1
HG03098.1	HG03098#1#JAHEPM010000066.1:4035624-4044883	c2_HG03098.1
HG03098.2	HG03098#2#JAHEPL010000065.1:4045854-4050220	c1_HG03098.2
HG03098.2	HG03098#2#JAHEPL010000065.1:4059567-4068798	c2_HG03098.2
HG03453.1	HG03453#1#JAGYVW010000042.1:7756302-7760669	c1_HG03453.1
HG03453.1	HG03453#1#JAGYVW010000042.1:7770007-7779250	c2_HG03453.1
HG03453.2	HG03453#2#JAGYVV010000144.1:4341495-4345860	c1_HG03453.2
HG03453.2	HG03453#2#JAGYVV010000144.1:4322890-4332151	c2_HG03453.2
HG03486.1	HG03486#1#JAHEOQ010000031.1:4403586-4407952	c1_HG03486.1
HG03486.1	HG03486#1#JAHEOQ010000031.1:4385024-4394240	c2_HG03486.1
HG03486.2	HG03486#2#JAHEOP010000177.1:8720255-8724622	c1_HG03486.2
HG03486.2	HG03486#2#JAHEOP010000177.1:8701660-8710917	c2_HG03486.2
HG03492.1	HG03492#1#JAHEPI010000195.1:8709539-8713905	c1_HG03492.1
HG03492.1	HG03492#1#JAHEPI010000195.1:8690957-8700193	c2_HG03492.1
HG03492.2	HG03492#2#JAHEPH010000203.1:4024787-4029154	c1_HG03492.2
HG03492.2	HG03492#2#JAHEPH010000203.1:4038501-4047734	c2_HG03492.2
HG03516.1	HG03516#1#JAGYYT010000034.1:29270996-29275362	c1_HG03516.1
HG03516.1	HG03516#1#JAGYYT010000034.1:29284710-29293959	c2_HG03516.1
HG03516.2	HG03516#2#JAGYYS010000007.1:30070500-30074866	c1_HG03516.2
HG03516.2	HG03516#2#JAGYYS010000007.1:30084213-30093470	c2_HG03516.2
HG03540.1	HG03540#1#JAGYVY010000096.1:4036292-4040658	c1_HG03540.1
HG03540.1	HG03540#1#JAGYVY010000096.1:4050005-4059244	c2_HG03540.1
HG03540.2	HG03540#2#JAGYVX010000110.1:8714426-8718792	c1_HG03540.2
HG03540.2	HG03540#2#JAGYVX010000110.1:8695820-8705081	c2_HG03540.2
HG03579.1	HG03579#1#JAGYVU010000059.1:4024881-4029248	c1_HG03579.1
HG03579.1	HG03579#1#JAGYVU010000059.1:4038586-4047839	c2_HG03579.1
HG03579.2	HG03579#2#JAGYVT010000071.1:8712195-8716561	c1_HG03579.2
HG03579.2	HG03579#2#JAGYVT010000071.1:8693587-8702837	c2_HG03579.2
NA18906.1	NA18906#1#JAHEOO010000012.1:8712791-8717157	c1_NA18906.1
NA18906.1	NA18906#1#JAHEOO010000012.1:8694206-8703443	c2_NA18906.1
NA18906.2	NA18906#2#JAHEON010000027.1:8733124-8737490	c1_NA18906.2
NA18906.2	NA18906#2#JAHEON010000027.1:8714523-8723779	c2_NA18906.2
NA20129.1	NA20129#1#JAHEPE010000126.1:4030465-4034831	c1_NA20129.1
NA20129.1	NA20129#1#JAHEPE010000126.1:4044165-4053422	c2_NA20129.1
NA20129.2	NA20129#2#JAHEPD010000035.1:4021536-4025863	c1_NA20129.2
NA21309.1	NA21309#1#JAHEPC010000206.1:4012502-4016829	c1_NA21309.1
NA21309.2	NA21309#2#JAHEPB010000112.1:4028441-4032806	c1_NA21309.2
NA21309.2	NA21309#2#JAHEPB010000112.1:4042150-4051405	c2_NA21309.2
