HG00438.1	HG00438#1#JAHBCB010000005.1:35371222-35394190
HG00438.2	HG00438#2#JAHBCA010000050.1:8707361-8711687
HG00621.1	HG00621#1#JAHBCD010000110.1:4026394-4049359
HG00621.2	HG00621#2#JAHBCC010000029.1:8708826-8713161
HG00673.1	HG00673#1#JAHBBZ010000046.1:8699388-8722353
HG00673.2	HG00673#2#JAHBBY010000055.1:4028854-4051827
HG00733.1	HG00733#1#JAHEPQ010000046.1:4048843-4053169
HG00733.2	HG00733#2#JAHEPP010000056.1:8706616-8729552
HG00735.1	HG00735#1#JAHBCH010000040.1:8684180-8707136
HG00735.2	HG00735#2#JAHBCG010000059.1:8708280-8731232
HG00741.1	HG00741#1#JAHALY010000111.1:8703468-8726425
HG00741.2	HG00741#2#JAHALX010000042.1:4027832-4050776
HG01071.1	HG01071#1#JAHBCF010000027.1:8712160-8735111
HG01071.2	HG01071#2#JAHBCE010000105.1:4029157-4052104
HG01106.1	HG01106#1#JAHAMC010000037.1:8712488-8735445
HG01106.2	HG01106#2#JAHAMB010000077.1:7601498-7624445
HG01109.1	HG01109#1#JAHEPA010000066.1:4021682-4044628
HG01109.2	HG01109#2#JAHEOZ010000088.1:4731954-4754910
HG01123.1	HG01123#1#JAGYYZ010000032.1:4021882-4044838
HG01123.2	HG01123#2#JAGYYY010000113.1:3974921-3997863
HG01175.1	HG01175#1#JAHAMA010000070.1:4328383-4351328
HG01175.2	HG01175#2#JAHALZ010000131.1:8705086-8728030
HG01243.1	HG01243#1#JAHEOY010000120.1:4024554-4047500
HG01243.2	HG01243#2#JAHEOX010000149.1:4439549-4443876
HG01258.1	HG01258#1#JAGYYV010000053.1:4047299-4070219
HG01258.2	HG01258#2#JAGYYU010000032.1:4024574-4047520
HG01358.1	HG01358#1#JAGYZB010000072.1:4011198-4034154
HG01358.2	HG01358#2#JAGYZA010000096.1:8701058-8724023
HG01361.1	HG01361#1#JAGYYX010000097.1:4320231-4343188
HG01361.2	HG01361#2#JAGYYW010000103.1:3992729-4015685
HG01891.1	HG01891#1#JAGYVO010000117.1:188978-193304
HG01891.2	HG01891#2#JAGYVN010000060.1:4326795-4349764
HG01928.1	HG01928#1#JAGYVQ010000024.1:8697784-8720740
HG01928.2	HG01928#2#JAGYVP010000117.1:4021254-4044210
HG01952.1	HG01952#1#JAHAME010000072.1:4326101-4349058
HG01952.2	HG01952#2#JAHAMD010000090.1:8696343-8719299
HG01978.1	HG01978#1#JAGYVS010000077.1:8690800-8713756
HG01978.2	HG01978#2#JAGYVR010000066.1:8695486-8718441
HG02055.1	HG02055#1#JAHEPK010000109.1:7658752-7681698
HG02055.2	HG02055#2#JAHEPJ010000047.1:8700512-8723469
HG02080.1	HG02080#1#JAHEOW010000068.1:3993916-4016860
HG02080.2	HG02080#2#JAHEOV010000194.1:4322289-4345257
HG02109.1	HG02109#1#JAHEPG010000128.1:4022004-4044966
HG02109.2	HG02109#2#JAHEPF010000011.1:4329928-4352887
HG02145.1	HG02145#1#JAHKSG010000076.1:4022308-4045255
HG02145.2	HG02145#2#JAHKSF010000010.1:8699005-8703339
HG02148.1	HG02148#1#JAHAMG010000111.1:412068-435010
HG02148.2	HG02148#2#JAHAMF010000088.1:4021851-4044807
HG02257.1	HG02257#1#JAGYVI010000052.1:4327760-4350729
HG02257.2	HG02257#2#JAGYVH010000069.1:8702356-8725304
HG02486.1	HG02486#1#JAGYVM010000070.1:14423916-14446882
HG02486.2	HG02486#2#JAGYVL010000054.1:8698694-8721670
HG02559.1	HG02559#1#JAGYVK010000010.1:4030166-4053114
HG02559.2	HG02559#2#JAGYVJ010000048.1:8716010-8738968
HG02572.1	HG02572#1#JAHAOW010000169.1:182089-205037
HG02572.2	HG02572#2#JAHAOV010000317.1:1282516-1305474
HG02622.1	HG02622#1#JAHAOO010000071.1:4384287-4407255
HG02622.2	HG02622#2#JAHAON010000008.1:8701497-8724451
HG02630.1	HG02630#1#JAHAOQ010000071.1:8702971-8725926
HG02630.2	HG02630#2#JAHAOP010000028.1:20502779-20525735
HG02717.1	HG02717#1#JAHAOS010000070.1:4378461-4401435
HG02717.2	HG02717#2#JAHAOR010000025.1:8683559-8706505
HG02723.1	HG02723#1#JAHEOU010000143.1:4020708-4043676
HG02723.2	HG02723#2#JAHEOT010000093.1:2085797-2108742
HG02818.1	HG02818#1#JAHEOS010000080.1:4022603-4045560
HG02818.2	HG02818#2#JAHEOR010000121.1:8696896-8719869
HG02886.1	HG02886#1#JAHAOU010000134.1:4325991-4348948
HG02886.2	HG02886#2#JAHAOT010000063.1:29463134-29486096
HG03098.1	HG03098#1#JAHEPM010000066.1:4021914-4044883
